ID,Brood Modification Strategy,Worker Modification Strategy,MarNrMatings,PopSize,Queen's initial energy,Queen's initial speed,Speed reduction factor,Energy reduction amount,Probability to mate drone threshold,Fitness values,Number of iterations,Duration,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150609_105836,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9283114075660706,61,124,2807.855,270.41718,128.49298,139.75302,1200.7788,2.4254937,115.55179,4.34744,689.711,20.452148,2624.8865,MenuId: 39 Starter: -no starter MainCourse: 3078 - Aromatic Green Casserole  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 17.0 DeliveryTime(min): 66,MenuId: 28167 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1269 - Herbed Pork Cutlets with 1131 - Rice Pilaf Desert: 3022 - Arancia Genovese  Cost: 16.0 DeliveryTime(min): 20,MenuId: 36722 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 1007 - Chocolate Fudge  Cost: 15.0 DeliveryTime(min): 47,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,70.0,50.8
20150609_105837,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9195331931114197,50,110,3313.8171,263.91516,193.23961,166.41946,1032.1504,3.9723248,97.1651,2.0295517,696.1786,24.18021,3442.4458,MenuId: 9 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 1011 - Cinnamon roll  Cost: 25.0 DeliveryTime(min): 28,MenuId: 9351 Starter: 3039 - Ark Soup  MainCourse: 3091 - Arroz Colonial  Desert: 3010 - Apricot Salad  Cost: 13.0 DeliveryTime(min): 32,MenuId: 37179 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1270 - Lamb Grill with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 5014 - Amish Sugar Cookies  Cost: 10.0 DeliveryTime(min): 51,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,70.0,46.4
20150609_105837,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9224200248718262,37,86,2914.381,295.62802,143.90346,133.25665,1520.7633,2.3887525,55.87412,6.876628,769.66486,21.848711,3676.553,MenuId: 77 Starter: -no starter MainCourse: 3106 - Artichoke and Cheese Squares  Desert: 1011 - Cinnamon roll  Cost: 10.0 DeliveryTime(min): 36,MenuId: 25637 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3008 - Apricot Pork Medallions  Desert: 3005 - Apricot Pear Tart  Cost: 27.0 DeliveryTime(min): 61,MenuId: 36982 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5002 - A Cauldron of Beans  Desert: 1007 - Chocolate Fudge  Cost: 13.0 DeliveryTime(min): 37,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,72.0,51.0
20150609_105838,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9256753325462341,100,219,2543.0522,255.45847,126.69799,112.22297,1030.9983,2.4710412,116.11551,1.5612592,703.1443,16.098927,3366.2324,MenuId: 73 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: 1011 - Cinnamon roll  Cost: 16.0 DeliveryTime(min): 35,MenuId: 24737 Starter: 3064 - Arnaud's Sweet Potato and Andouille Soup  MainCourse: 1270 - Lamb Grill with 1132 - Rice Pilaf with Mushrooms Desert: 3005 - Apricot Pear Tart  Cost: 15.0 DeliveryTime(min): 24,MenuId: 36126 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1016 - Irish Potato casserole  Desert: 5011 - Amaretto Apples with Meringue  Cost: 21.0 DeliveryTime(min): 48,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,74.0,45.6
20150609_105838,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9238003492355347,41,87,2406.5212,275.26038,111.30445,102.32971,1353.2594,2.5506458,147.06194,2.7145846,570.2528,14.169582,2493.4644,MenuId: 73 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: 1011 - Cinnamon roll  Cost: 16.0 DeliveryTime(min): 35,MenuId: 26487 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3059 - Armenian Style Zucchini  Desert: 3022 - Arancia Genovese  Cost: 19.0 DeliveryTime(min): 46,MenuId: 36397 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3040 - Arkansas Brown Rice  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 10.0 DeliveryTime(min): 53,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,67.0,51.0
20150609_105838,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9285871386528015,45,102,2446.287,237.91747,125.94004,114.54327,1324.5002,2.4056137,74.167625,3.843618,509.4327,13.157787,3143.5698,MenuId: 5 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 1011 - Cinnamon roll  Cost: 29.0 DeliveryTime(min): 35,MenuId: 25437 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1041 - Lasagna  Desert: 3022 - Arancia Genovese  Cost: 13.0 DeliveryTime(min): 76,MenuId: 37211 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1275 - Turkey Piccata with 1132 - Rice Pilaf with Mushrooms Desert: 1000 - Lemon bars  Cost: 10.0 DeliveryTime(min): 31,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,74.0,52.6
20150609_105839,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9157230257987976,26,60,3325.71,345.67978,214.3255,126.91679,1211.6401,4.095335,130.26268,6.130115,640.3264,29.389315,3966.9302,MenuId: 8 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3042 - Arkansas German Baked Pancake  Cost: 12.0 DeliveryTime(min): 71,MenuId: 26821 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3072 - Arni Tis Katsarolas Me Patates  Desert: 3051 - Armenian In-Law Dessert  Cost: 19.0 DeliveryTime(min): 33,MenuId: 36875 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3101 - Arroz De Huaca  Desert: 1254 - Beef Stroganoff  Cost: 13.0 DeliveryTime(min): 23,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,68.0,34.2
20150609_105839,Path Relinking,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9298931956291199,61,139,2284.922,226.21594,112.66522,109.811455,1285.8484,2.217514,107.791916,3.4869897,558.6165,14.90864,2785.3315,MenuId: 75 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 15.0 DeliveryTime(min): 29,MenuId: 27417 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3094 - Arroz Con Leche De Coco  Desert: 3022 - Arancia Genovese  Cost: 17.0 DeliveryTime(min): 72,MenuId: 36721 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 1000 - Lemon bars  Cost: 15.0 DeliveryTime(min): 28,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,69.0,50.0
20150609_105842,Path Relinking,[Simulated Annealing],15,20,100,100,0.9,5.0,0.05,0.8582658171653748,57,182,4544.542,540.52234,236.66394,167.27657,1462.1926,5.6105123,230.11128,8.40668,1041.095,34.13144,4708.1978,MenuId: 56 Starter: -no starter MainCourse: 3090 - Arroz Caliente  Desert: 3042 - Arkansas German Baked Pancake  Cost: 42.0 DeliveryTime(min): 73,MenuId: 26071 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3033 - Ariel's Spicy Indian Potatoes  Desert: 3051 - Armenian In-Law Dessert  Cost: 34.0 DeliveryTime(min): 21,MenuId: 36357 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3034 - Arizona Chicken Fajitas  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 14.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,112.0,49.4
20150609_105843,Path Relinking,[Simulated Annealing],15,20,100,100,0.9,5.0,0.05,0.853675365447998,45,113,4280.319,300.9036,292.33878,211.79726,1161.6458,5.574421,61.005375,6.840528,1085.3594,27.573011,5600.758,MenuId: 9 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 1011 - Cinnamon roll  Cost: 23.0 DeliveryTime(min): 86,MenuId: 35914 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1278 - Peach Pork Saute with 5003 - A Dilly-Of-An-Onion Bread Desert: 3093 - Arroz Con Leche  Cost: 34.0 DeliveryTime(min): 60,MenuId: 36921 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3107 - Artichoke and Leek Pizza  Desert: 1000 - Lemon bars  Cost: 41.0 DeliveryTime(min): 24,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,120.0,58.2
